2020-11-18 10:16:41.437 INFO  IotApplication:14 - -----系统启动-----
2020-11-18 10:16:41.467 INFO  IotConfig:167 - 配置文件加载成功
2020-11-18 10:16:42.677 INFO  MqttCallbackObject:46 - 设备[RTK]连接MQTT服务器成功
2020-11-18 10:16:44.462 INFO  NetChannel:94 - 与设备[RTK]连接失败，尝试重连...
2020-11-18 10:16:44.832 INFO  MqttCallbackObject:46 - 设备[BMS]连接MQTT服务器成功
2020-11-18 10:16:45.835 INFO  NetChannel:94 - 与设备[BMS]连接失败，尝试重连...
2020-11-18 10:16:46.205 INFO  MqttCallbackObject:46 - 设备[Met]连接MQTT服务器成功
2020-11-18 10:16:47.216 INFO  NetChannel:94 - 与设备[Met]连接失败，尝试重连...
2020-11-18 10:16:47.585 INFO  MqttCallbackObject:46 - 设备[Lift]连接MQTT服务器成功
2020-11-18 10:16:47.616 INFO  MqttCallbackObject:53 - Lift订阅[Lift/Ctrl]成功
2020-11-18 10:16:48.596 INFO  NetChannel:94 - 与设备[Lift]连接失败，尝试重连...
2020-11-18 10:16:50.481 INFO  NetChannel:94 - 与设备[RTK]连接失败，尝试重连...
2020-11-18 10:16:51.844 INFO  NetChannel:94 - 与设备[BMS]连接失败，尝试重连...
2020-11-18 10:16:53.235 INFO  NetChannel:94 - 与设备[Met]连接失败，尝试重连...
2020-11-18 10:16:54.615 INFO  NetChannel:94 - 与设备[Lift]连接失败，尝试重连...
2020-11-18 10:16:56.488 INFO  NetChannel:94 - 与设备[RTK]连接失败，尝试重连...
2020-11-18 10:16:57.859 INFO  NetChannel:94 - 与设备[BMS]连接失败，尝试重连...
2020-11-18 10:45:54.230 INFO  IotApplication:15 - -----系统启动-----
2020-11-18 10:45:54.276 INFO  IotConfig:167 - 配置文件加载成功
2020-11-18 10:45:55.742 INFO  MqttCallbackObject:46 - 设备[RTK]连接MQTT服务器成功
2020-11-18 10:45:57.550 INFO  NetChannel:94 - 与设备[RTK]连接失败，尝试重连...
2020-11-18 10:45:57.910 INFO  MqttCallbackObject:46 - 设备[BMS]连接MQTT服务器成功
2020-11-18 10:45:58.914 INFO  NetChannel:94 - 与设备[BMS]连接失败，尝试重连...
2020-11-18 10:45:59.273 INFO  MqttCallbackObject:46 - 设备[Met]连接MQTT服务器成功
2020-11-18 10:46:00.281 INFO  NetChannel:94 - 与设备[Met]连接失败，尝试重连...
2020-11-18 10:46:00.643 INFO  MqttCallbackObject:46 - 设备[Lift]连接MQTT服务器成功
2020-11-18 10:46:00.675 INFO  MqttCallbackObject:53 - Lift订阅[Lift/Ctrl]成功
2020-11-18 10:46:01.646 INFO  NetChannel:94 - 与设备[Lift]连接失败，尝试重连...
2020-11-18 10:48:33.983 INFO  IotApplication:21 - -----系统启动-----
2020-11-18 10:48:34.024 INFO  IotConfig:167 - 配置文件加载成功
2020-11-18 10:48:35.240 INFO  MqttCallbackObject:46 - 设备[RTK]连接MQTT服务器成功
2020-11-18 10:48:37.079 INFO  NetChannel:94 - 与设备[RTK]连接失败，尝试重连...
2020-11-18 10:48:37.437 INFO  MqttCallbackObject:46 - 设备[BMS]连接MQTT服务器成功
2020-11-18 10:48:38.442 INFO  NetChannel:94 - 与设备[BMS]连接失败，尝试重连...
2020-11-18 10:48:38.802 INFO  MqttCallbackObject:46 - 设备[Met]连接MQTT服务器成功
2020-11-18 10:48:39.809 INFO  NetChannel:94 - 与设备[Met]连接失败，尝试重连...
2020-11-18 10:48:40.169 INFO  MqttCallbackObject:46 - 设备[Lift]连接MQTT服务器成功
2020-11-18 10:48:40.202 INFO  MqttCallbackObject:53 - Lift订阅[Lift/Ctrl]成功
2020-11-18 10:48:41.172 INFO  NetChannel:94 - 与设备[Lift]连接失败，尝试重连...
2020-11-18 10:48:43.083 INFO  NetChannel:94 - 与设备[RTK]连接失败，尝试重连...
2020-11-18 10:48:44.446 INFO  NetChannel:94 - 与设备[BMS]连接失败，尝试重连...
2020-11-18 10:48:45.393 INFO  IotApplication:17 - -----系统关闭-----
