2020-11-18 11:23:54.873 INFO  IotApplication:22 - -----IOT启动-----
2020-11-18 11:23:54.910 INFO  IotConfig:167 - 配置文件加载成功
2020-11-18 11:23:55.992 INFO  MqttCallbackObject:46 - 设备[RTK]连接MQTT服务器成功
2020-11-18 11:23:57.757 INFO  NetChannel:94 - 与设备[RTK]连接失败，尝试重连...
2020-11-18 11:23:58.116 INFO  MqttCallbackObject:46 - 设备[BMS]连接MQTT服务器成功
2020-11-18 11:23:59.119 INFO  NetChannel:94 - 与设备[BMS]连接失败，尝试重连...
2020-11-18 11:23:59.479 INFO  MqttCallbackObject:46 - 设备[Met]连接MQTT服务器成功
2020-11-18 11:24:00.488 INFO  NetChannel:94 - 与设备[Met]连接失败，尝试重连...
2020-11-18 11:24:00.849 INFO  MqttCallbackObject:46 - 设备[Lift]连接MQTT服务器成功
2020-11-18 11:24:00.883 INFO  MqttCallbackObject:53 - Lift订阅[Lift/Ctrl]成功
2020-11-18 11:24:01.851 INFO  NetChannel:94 - 与设备[Lift]连接失败，尝试重连...
2020-11-18 11:24:03.764 INFO  NetChannel:94 - 与设备[RTK]连接失败，尝试重连...
2020-11-18 11:24:05.124 INFO  NetChannel:94 - 与设备[BMS]连接失败，尝试重连...
2020-11-18 11:24:06.468 INFO  IotApplication:18 - -----IOT关闭-----
